,name,adress,website,phone
0,Night Terrors Haunted Woods Walk,"506 US Route 1Kittery, ME 03904",https://takeflightadv.com/who-we-are/community-events/,['207-439-8838']
1,Haunted Overload,"Demeritt Hill Farm, 20 Orchard Way (Rt# 155Lee, NH 03861",http://www.findahaunt.com/boo/?s=http://www.hauntedoverload.com,['603-868-2111']
2,Haunted Acres,"446 Raymond RdCandia, NH 03034",https://hauntedacresNH.com/,['978-228-6543']
3,Ravenwood Haunted Farm,"436 Salem StHaverhill, MA 01835",https://www.feartheraven.com/,['978-306-5333 ']
4,Trail of Terror at Aquaboggan Water Park,"980 Portland RoadSaco, ME 04072",http://www.findahaunt.com/boo/?s=http://www.oob365.com,['207-590-4201']
5,Nightmare New England & SpookyWorld!,"454 Charles Bancroft HighwayLitchfield, NH 03052",http://www.findahaunt.com/boo/?s=http://www.spookyworld.com/,['603-424-7999']
6,Fright Kingdom,"12 Simon StreetNashua, NH 03060",http://www.findahaunt.com/boo/?s=http://www.frightkingdom.com,['603-809-1173']
7,First Parish Haunted House,"75 Great RoadBedford, MA 01730",http://www.findahaunt.com/boo/?s=http://hauntedbedford.org/,['781-275-7994']
8,13th World,"4097 Diamond Hill RdCumberland, RI 02863",https://www.13thworld.com/,['508-298-8653']
9,Fear Town,"1710 Fall River AvenueSeekonk, MA 02771",http://www.findahaunt.com/boo/?s=http://www.fear-town.com/,['508-296-0661']
10,Deadly Fantasies/Silent Nightmare (HOME HAUNT),"10 Canonchet Trail Johnston, RI 02919",https://www.deadlyfantasies.com/,['401-263-8063']
11,Haunted Labyrinth,"804 Dyer AvenueCranston, RI 02920",https://www.hauntedlabyrinth.com/,['401-943-8686']
12,New England Curiosities Walking Tours,"64 State StPortsmouth, NH 03801",https://newenglandcuriosities.com/,['603-343-7977']
13,Scamman Farm,"69 Portsmouth AveStratham, NH 03885",https://www.scammanfarm.com/,['603-686-1258']
14,Ghostly Tours of York,"2 Railroad AveYork Beach, ME 03909",cannot find,['207-363-0000']
15,Destination Haunt,"249 Lord RdLebanon, ME 03908",http://www.findahaunt.com/boo/?s=http://www.destinationhaunt.com,[]
16,Chris' Farm Stand Pumpkin Festival,"436 Salem StreetHaverhill, MA 01835",http://www.findahaunt.com/boo/?s=http://www.chrisfarmstand.com/index-2.html,['978-994-4315']
17,Crescent Farm PYO Pumpkins,"140 Willow AvenueBradford, MA 01835",http://www.findahaunt.com/boo/?s=http://www.crescentfarm.com/,['978-374-4424']
18,Harvest of Haunts at Charmingfare Farms,"774 High StreetCandia, NH 03034",https://www.visitthefarm.com/harvest-of-haunts/,[]
19,Canobie Lake Park's Screeemfest,"85 North Policy StreetSalem, NH 03079",http://www.findahaunt.com/boo/?s=http://www.canobie.com/screeemfest/,['603-893-3506']
20,Witch Mansion,"186-1 Essex StreetSalem, MA 01970",https://www.witchmansion.com/,['978-825-1300']
21,Haunted Dinner Theater,"18 Washington Sq WSalem, MA 01970",https://www.headfirstevents.com/,['617-426-1999']
22,Haunted Footsteps Ghost Tours & Salem Historical,"8 Central StreetSalem, MA 01970",https://www.salemhistoricaltours.com/,['978-745-0666']
